ID,Particle ID,Particle_Polygon_Area,Particle_Polygon_Length,Convex_Hull_Area,Convex_Hull_Length,Maximum_Dimension_Length,Maximum_Dimension_Angle,Paris_Factor,Area_Delta_Factor,Angularity,Min_Rect_Min_Length,Min_Rect_Min_Length_Angle,Min_Rect_Max_Length,Min_Rect_Max_Length_Angle,EncloseLengthDelta,FormIndex
8491,10654,4952.734758363972,281.15044060158226,5197.780699909993,269.1733930396982,99.67562870476726,119.64254394062989,8.899131839615096,4.947689579624622,13.801539671862676,67.77570211684645,32.70000000000004,100.53232201025571,122.70000000000005,13.801539671862676,0.06043699201207453
8492,10655,65.72702922699082,35.1095394686133,76.03248557872782,33.82369844904543,11.524290972995999,16.63696270587577,7.603195856922368,15.679175634344743,32.109151510504155,8.379566946733394,117.19999999999635,12.419109847783288,27.19999999999634,32.109151510504155,0.17373352979958243
8493,10657,902.5467577873053,123.36660617112138,949.6832431738103,118.4234126476335,46.07107701658222,86.85094807870173,8.348338243209138,5.222608688115549,26.81780447805228,28.97955420339425,153.3999999999941,43.276474420954585,63.3999999999941,26.81780447805228,0.09242195525426672
8494,10659,516.4739808997859,86.47975390133735,529.4436508138958,84.84674279680428,30.662184121528792,64.17482064880743,3.849319492308372,2.511195218685461,7.7335039534900405,22.65891988027682,150.2999999999943,31.58980666951193,60.29999999999429,7.7335039534900405,0.04058351123374205
8495,10660,10.491116523516816,13.360121425938924,10.917893218813454,13.281974298246876,4.311729105862541,19.726749427236587,1.1767396312815228,4.067981652286281,64.40596419400244,2.966487407131155,114.99999999999648,5.289248350804909,24.999999999996483,64.40596419400244,0.1529334616972843
8496,10661,34.00735931288071,26.902787074678272,37.96446609406728,26.413852587369156,10.299835905933115,76.77156692655205,3.7021065798097155,11.63603073317064,170.53155749775607,4.185283952314666,171.799999999993,11.2563465023747,81.79999999999295,170.53155749775607,0.3763173187258533
8497,10664,904.3667478527522,145.76745479533997,946.2040584539816,142.29099799958868,60.10530144247935,176.63583156027357,4.886404403125121,4.626144282788395,104.69148968893256,23.000000000000703,89.99999999999805,61.00000000000013,180.0,104.69148968893256,0.3145009428124375
8498,10665,215.60310697340972,60.00238971139634,236.22702922699077,57.09177837615491,18.716402918197563,146.81070947468817,10.196253884629664,9.56568879878182,7.86226553725617,15.000000000000089,89.99999999999805,18.000000000000263,180.0,7.86226553725617,0.09185528579079912
8499,10666,9.79289321881345,11.757359312880713,9.79289321881345,11.757359312880713,3.3028732988273575,21.62568240327818,0.0,0.0,8.60834568066679,3.0000000000000884,89.99999999999805,4.0000000000000195,180.0,8.60834568066679,0.0396175578977347
8500,10670,24.896446609406723,19.370485242633464,24.896446609406723,19.370485242633464,6.462324805381714,159.72586777264843,0.0,0.0,33.231675691915655,4.000000000000123,89.99999999999805,7.000000000000089,180.0,33.231675691915655,0.07090610780581928
